category,n,mean_norm_brier,mean_norm_market_brier,mean_norm_improvement,ci95_low,ci95_high,median_norm_improvement,beat_market_rate,beat_market_count,paired_signflip_p,avg_num_outcomes,mean_supplied_event_sum_improvement
Economics,33,0.044421762079919734,0.04656092212208952,0.002139160042169784,-0.006450819762911329,0.01074680784057439,1.6363636363636363e-06,0.48484848484848486,16,0.6365454484850505,14.545454545454545,0.02684151612903226
Entertainment,32,0.032913541407490976,0.16522867779739417,0.1323151363899032,0.03200121030042875,0.24586644218050616,0.0027216666666666665,0.65625,21,0.02733242225259158,15.46875,2.0032241724137934
Politics,32,0.04968127887864823,0.04285958269329236,-0.006821696185355865,-0.02368306613351255,0.005891730695724519,7.6e-05,0.65625,21,0.4598513382887237,4.53125,-0.092009
Science and Technology,26,0.08045216622222223,0.09935101111111112,0.018898844888888888,-0.043901677727777776,0.09634512056666664,7.500000000000001e-05,0.6153846153846154,16,0.6762441251958268,11.461538461538462,0.09565328
Crypto,14,0.0048973507078559735,0.08426941857610475,0.07937206786824877,0.019344627918269228,0.15188921237868236,0.0035625375,0.7857142857142857,11,0.014732842238592047,70.0,0.19291784615384616
Climate and Weather,14,0.022175642857142856,0.06679880952380952,0.04462316666666666,0.007356994047619049,0.0806921839285714,0.031883416666666664,0.8571428571428571,12,0.03709876337455418,6.0,0.267739
Commodities,13,0.051861501199494946,0.057150877525252525,0.0052893763257575764,-0.001836260531881311,0.012589785569760092,0.004217416666666668,0.6153846153846154,8,0.19226025799140029,29.53846153846154,0.22991816666666673
Sports,12,0.06716675,0.20732916666666668,0.14016241666666668,0.08213567083333334,0.1949067604166666,0.15615,0.75,9,0.003866537782073931,2.0,0.28032483333333336
Financials,12,0.029584611111111114,0.05474916666666666,0.025164555555555555,-0.0038431862499999983,0.07276785986111112,0.002624833333333335,0.5833333333333334,7,0.2819906003133229,25.0,0.37752858333333333
Elections,8,0.052093176388888884,0.05231431111111111,0.0002211347222222217,-0.003326890069444448,0.0030482208333333346,0.0009149166666666676,0.75,6,0.8831705609813006,5.375,0.0036986249999999997
Mentions,4,0.11088911458333332,0.12350546527777778,0.01261635069444445,-0.02301333333333333,0.06497571875000002,-0.004113333333333344,0.25,1,,18.75,0.5574410000000002
Companies,4,0.051546428571428576,0.05286765873015873,0.0013212301587301578,-0.0030375000000000003,0.004083333333333328,0.0029178571428571456,0.5,2,,5.75,0.0068749999999999966
