num_outcomes,single_winner_uniform_vector_sum,single_winner_uniform_mean_per_outcome,binary_50_50_standard_brier
2,0.5,0.25,0.25
4,0.75,0.1875,
5,0.8000000000000002,0.16000000000000003,
6,0.8333333333333335,0.13888888888888892,
7,0.8571428571428573,0.12244897959183676,
8,0.875,0.109375,
9,0.8888888888888888,0.09876543209876543,
10,0.9000000000000001,0.09000000000000001,
11,0.909090909090909,0.08264462809917354,
13,0.9230769230769232,0.07100591715976333,
14,0.9285714285714286,0.0663265306122449,
15,0.9333333333333333,0.06222222222222222,
16,0.9375,0.05859375,
17,0.9411764705882353,0.05536332179930796,
18,0.9444444444444444,0.05246913580246913,
20,0.95,0.0475,
21,0.9523809523809523,0.045351473922902494,
23,0.9565217391304348,0.04158790170132325,
30,0.9666666666666667,0.03222222222222222,
32,0.96875,0.0302734375,
40,0.975,0.024375,
47,0.9787234042553191,0.02082390221819828,
50,0.9799999999999999,0.019599999999999996,
80,0.9875,0.01234375,
110,0.990909090909091,0.009008264462809917,
188,0.9946808510638296,0.005290855590765051,
